title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i
How to Grasp the Complexity of Self-Organised Robot Swarms?,"Robot swarms consist of large numbers of autonomous robots\, whose behaviour has been greatly inspired by existing complex biological\, physical or chemical systems. This is especially the case for behaviours that involve mechanisms leading to spatial self-organisation of robots. The complex nature of these behaviours prevents a human operator from keeping a mental model of them\, which makes it difficult to interact with them\, even though this is necessary in certain cases: prediction of a loss of stability\, detection of blocking situations\, etc. How to allow an operator to grasp the complexity of self-organised robot swarms? This article aims at providing leads to answer this question\, by investigating what humans are capable of perceiving of a complex system\, and what additional information could be needed to enable them to understand its dynamics and state\, and to predict the effects of their control. We first present what an operator is able to perceive from a large number of agents\, self-organised or not\, through a state of the art of existing works in cognitive sciences\, vision and swarm robotics. Secondly\, we identify in the literature the different types of information on robot swarms that are transmitted to the operator\, with the aim of facilitating his perception and improving his understanding. Finally\, we discuss what could be the information needed to build a mental model of the operator\, the avenues being explored and the possible challenges to be taken into account.",,"Jérémy Rivière,Aymeric Hénard,Etienne Peillard,Sébastien Kubicki,Gilles Coppin",2023
Impact of Public Lighting Intensity on the Feeling of Safety in Virtual Reality,"Over the past decades the urban night landscapes have been associated with over-lighting\, which has become the norm. Arguably\, lighting systems play a major role in the city life (feeling of safety\, development of a night time economy and various night practices). But the urge for reducing energy consumption and protecting biodiversity must be considered while designing public lighting\, without compromising the feeling of safety. In this paper\, researchers from Urban Planning\, Psychology and Computer Science were gathered by the transdisciplinary research program ""Noz Breizh"". They are proposing an exploratory approach to use Virtual Reality to test different lighting intensities for studying its impact on the feeling of safety of pedestrians. As a first result we observed a logarithmic relation between the feeling of safety and the light intensity.","Urban Planning,Virtual Reality,Public Lighting,Well-being,Psychology,Safety","Olivier Augereau,Simon Bruno,Ignacio Pérez Allub,Edna Hernández González,Nathalie Le Bigot,Ronan Querrec",2023
"UCAV Swarm Performance Evaluation Stochastic Model,Modèle stochastique pour la détection d'essaims de véhicules aériens militaires","Cet article introduit un nouveau modèle de détection d'un essaim de véhicules aériens militaires autonomes par un radar sur des trajectoires prédéfinies. Ce modèle prend en compte l'impact des interactions entre membres de l'essaim sur la détection. Sur un scénario classique de pénétration\, on montre qu'un modèle simplifié permet de calculer facilement une borne supérieure sur les performances du modèle avec défaillances.","UCAV Swarm,Stochastic Model,Performance Evaluation","Stanislas de Charentenay,Alexandre Reiffers-Masson,Gilles Coppin",2023
Training and Data Analysis use cases for Cybersecurity through Mixed Reality Applications,"In this paper\, we will discuss our point of view of the use of Mixed Environments for Cybersecurity\, especially for training and data analysis purposes. We will argue that Collaborative Mixed Environments could merge training and analysis approaches by providing users with several points of view on cyber situations.",,"Alexandre Kabil,Thierry Duval,Marc-Oliver Pahl",2021
Virtual Reality Simulation for Multimodal and Ubiquitous System Deployment,"Multimodal IoT-based Systems (MIBS) are ubiquitous systems that use various connected devices as interfaces of interaction. However\, configuring and testing MIBS to ensure they correctly work in one's own environment is still challenging for most users: the trial and error process in situ is a tedious and time-consuming method. In this paper\, we aim to simplify the installation process of MIBS. Thus\, we propose a new VR methodology and a tool that allow the configuration and evaluation of MIBS thanks to realistic simulation. In our approach\, users can easily test various devices\, devices locations\, and interaction techniques without prior knowledge or dependence on the environment and devices availability. Contrary to on-the-field experiments\, there is no need to access the real environment and all the desired connected devices. Moreover\, our solution includes feedback features to better understand and assess devices interactive capabilities according to their locations. Users can also easily create\, collect and share their configurations and feedback to improve the MIBS\, and to help its installation in the real environment. To demonstrate the relevance of our VR-based methodology\, we compared it in a smart home with a tool following the same configuration process but on a desktop setup and with real devices. We show that users reached comparable configurations in VR and on-the-field experiments\, but the whole configuration and evaluation process was performed faster in VR.","Simulation,Prototyping/Implementation,Virtual Reality,Internet Of Things,Multimodal systems","Fabrice Poirier,Anthony Foulonneau,Jérémy Lacoche,Thierry Duval",2023
Cybercopters Swarm: Immersive Analytics for Alerts Classification based on Periodic Data,"This paper assesses the usefulness of an interactive and navigable 3D environment to help decision-making in cybersecurity. Malware programs frequently emit periodic signals in network logs. However\, normal periodical network activities\, such as software updates and data collection activities\, mask them. Thus\, if automatic systems use periodicity to successfully detect malware\, they will also detect ordinary activities as suspicious ones and will raise false positives. Hence\, there is a need to provide tools to sort the alerts raised by such software. Data visualizations can make it easier to categorize these alerts\, as proven by previous research. However\, traditional visualizations tools can struggle to display the large amount of data that needs to be treated in cybersecurity in a clear way. This is why this paper explores the use of Immersive Analytics to interact with complex datasets representations and to collect cues for alert classification. We created a prototype that uses a helical representation to underline periodicity in the distribution of one variable of a dataset. We tested this prototype in an alert triage scenario and compared it with a state of the art 2D visualization with regard to visualizations efficiency\, usability\, workload and flow induced.","Immersive Analytics,Cybersecurity,Periodic Signals,Virtual Reality,Alarm classification,HCI","Nicolas Delcombel,Thierry Duval,Marc-Oliver Pahl",2023
Virtual data sphere: inverse stereographic projection for immersive multi-perspective geovisualization,"Immersive geospatial visualization finds increasing application for navigation\, exploration\, and analysis. Many such require the display of data at different scales\, often in views with three-dimensional geometry. Multi-view solutions\, such as focus+context\, overview+detail\, and distorted projections can show different scales at the same time\, and help place an area of interest within its surroundings. By inverting the principle of stereographic projection – projecting spatial features from a map onto a virtual sphere which surrounds the viewer – we present a novel technique for immersive geospatial focus+context that aims to mitigate problems with existing solutions. This sphere can intersect the map\, dividing it into two parts: the inside of the sphere\, which stays unchanged\, and the outside\, which gets projected to the surface\, resulting in an inversion of the lens metaphor by distorting the context instead of the focus. This detail-in-context visualization maximizes the amount of context that can be legibly shown by the smooth compression inherent to the stereographic projection\, and by utilizing otherwise unused screen space in the sky. The projection method allows for easy control over the projection and distortion characteristics by varying only two main parameters – the sphere’s radius and its position. The omnidirectional nature of our system makes it particularly well-suited for immersive displays by accommodating typical immersive exploration and fully utilizing the additional visual space available. Applying our system to an urban environment\, we were able to solicit positive reactions during feedback sessions with experts from urbanism.","Geovisualization,Virtual Reality,Immersive Analytics,Multi-Perspective Views,Focus+Context","Maxim Spur,Vincent Tourre,Guillaume Moreau,Patrick Le Callet",2022
"Vers l'identification des phases d'apprentissage procédural en environnement virtuel,Towards the identification of procedural learning phases in a virtual environment","Les environnements virtuels utilisés pour acquérir des compétences génèrent de grandes quantités de données comportementales et apportent ainsi de nouvelles opportunités de compréhension de l'activité des apprenants. A par-tir de telles données\, une méthode de clustering a été utilisée dans la présente étude afin d'identifier des phases dans le processus d'apprentissage procédural. La reconnaissance de ces phases d'un point de vue comportemental permettrait de suivre en temps réel et de façon automatique la progression des individus et ainsi personnaliser les scénarios pédagogiques en environnement virtuel. Soixante-trois participants ont réalisé de façon répétée une procédure d'assemblage du cube de Soma en environnement virtuel. Les analyses montrent une amélioration des performances et une diminution du coût cognitif au fur et à mesure des répétitions de la tâche. Les résultats d'une approche multidimensionnelle de découpage de l'activité en différentes phases sont présentés et discutés.,Virtual environments used to acquire skills generate large amounts of behavioral data and thus provide new opportunities to understand learners' activity. From such data\, a clustering method was used in the present study to identify phases in the procedural learning process. The recognition of these phases from a behavioral point of view would allow to follow in real time and in an automatic way the progress of the individuals and thus to personalize the pedagogical scenarios in a virtual environment. Sixty-three participants repeatedly performed a Soma cube assembly procedure in a virtual environment. Analyses show an improvement in performance and a decrease in cognitive cost as the task is repeated. The results of a multidimensional approach of dividing the activity into different phases are presented and discussed.","Procedural learning,Mental workload,Behavioral data,Virtual environment,Learning phases,Apprentissage procédural,Charge de travail mental,Données comportementales,Environnement virtuel,Phases d'apprentissage","Anais Raison,Olivier Augereau,Nathalie Le Bigot,Frédéric Devillers,Sébastien Levieux,Franck Ganier",2023
Trust in Automation: Analysis and Model of Operator Trust in Decision Aid AI Over Time,"Understanding how human trust in AI evolves over time is essential to identify the limits of each party and provide solutions for optimal collaboration. With this goal in mind\, we examine the factors that directly or indirectly influence trust\, whether they come from humans\, AI\, or the environment. We then propose a summary of methods for measuring trust\, whether subjective or objective\, to show which ones are best suited for longitudinal studies. We then focus on the main driving force behind the evolution of trust: feedback. We justify how learning feedback can be transposed to trust and what types of feedback can be applied to impact the evolution of trust over time. After understanding the factors that influence and how to measure trust\, we propose an application example on a maritime surveillance tool with an AI-based decision aid.","Trust in Automation,Maritime Patrol,Longitudinal Experiment,Feedback,Human Factors,Cognitive Engineering","Vincent Fer,Daniel Lafond,Gilles Coppin,Mathias Bollaert,Olivier Grisvard,Pierre de Loor",2023
Interactive Multimodal System Characterization in the Internet of Things Context,"The internet of things (IoT) is a chance to provide users with pervasive environments in which they can interact naturally with the environment. Multimodal interaction is the domain that provides this naturalness by using different senses to interact. However\, the IoT context requires a specific process to create such multimodal systems. In this article\, we investigate the process of creating multimodal systems with connected devices as interaction mediums\, and provide an analysis of the existing tools to complete this process. We discuss tools that could be designed to support the creation process when the existing ones are not sufficient.","Multimodal Interaction,Tools,Internet of Things","Fabrice Poirier,Anthony Foulonneau,Jérémy Lacoche,Thierry Duval",2022
"Les interactions multimodales dans le contexte de l’internet des objets,Multimodal interactions in the context of the Internet of Things","Les MIBS sont des systèmes multimodaux utilisant des objets connectés comme interfaces d’interaction. Il faut des méthodes et des outils pour faciliter l’adaptation de ces systèmes aux spécificités des environnements d’exécution. D'un environnement à l'autre\, les objets connectés sont différents\, placés à des endroits différents\, avec des disponibilités variables. Un état de l’art a permis d’identifier les exigences à atteindre pour réaliser des MIBS\, puis de déterminer les fonctionnalités essentielles et les principales limitations des frameworks permettant de réaliser des MIBS. Cela nous a permis de proposer et développer notre propre framework. À ce stade une intervention humaine est nécessaire au processus d’adaptation des MIBS. Nous avons ensuite proposé une étude du cycle de vie de ces systèmes pour identifier les tâches\, rôles et outils intervenant dans ce processus d’adaptation. Pour outiller l’étape de déploiement des MIBS nous avons proposé une méthode et un outil proposant d’utiliser la Réalité Virtuelle (RV) pour configurer et évaluer des MIBS dans des modèles 3D d’environnements avant de passer au déploiement dans les environnements réels. Une expérimentation utilisateur a confirmé l’intérêt de cette approche.,MIBS are multimodal systems using connected objects as interaction interfaces. Methods and tools are needed to facilitate the adaptation of these systems to the specificities of the execution environments. From one environment to another\, the connected objects are different\, placed in different places\, with variable availability. A state of the art made it possible to identify the requirements to be met in order to create MIBS\, then to determine the essential functionalities and the main limitations of the frameworks allowing the creation of MIBS. This allowed us to propose and develop our own framework.At this stage\, human intervention is necessary for the MIBS adaptation process. We then proposed a study of the life cycle of these systems to identify the tasks\, roles and tools involved in this adaptation process. To equip the MIBS deployment stage\, we have proposed a method and a tool proposing to use Virtual Reality (VR) to configure and evaluate MIBS in 3D models of environments before moving on to deployment in real environments. A user experiment confirmed the interest of this approach.","Multimodal interactions,Ambiant systems,Connected objects,Internet of Things,Virtual reality,Interactions multimodales,Informatique ambiante,Objets connectés,Internet des objets,Réalité virtuelle",Fabrice Poirier,2023
Using Identification with AR Face Filters to Predict Explicit & Implicit Gender Bias,"Augmented Reality (AR) filters\, such as those used by social media platforms like Snapchat and Instagram\, are perhaps the most commonly used AR technology. As with fully immersive Virtual Reality (VR) systems\, individuals can use AR to embody different people. This experience in VR has been able to influence real world biases such as sexism. However\, there is little to no comparative research on AR embodiment's impact on societal biases. This study aims to set groundwork by examining possible connections between using gender changing Snapchat AR face filters and a person's predicted implicit and explicit gender biases. We discovered that participants who experienced identification with cross-gendered manipulations of themselves showed both greater and lesser amounts of bias against men and women. These results depended the filter user's gender\, the filter applied\, and the level of identification users reported with their AR manipulated selves. The results were similar to past VR findings but offered unique AR observations that could be useful for future bias intervention efforts.","Human-centered computing,Human computer interaction HCI,Interaction paradigms,Mixed / augmented reality,Human computer interaction HCI,HCI design and evaluation methods,User studies","Marie Jarrell,Etienne Peillard",2023
A classification of ethical issues in personnel scheduling,,"Ethics,Personnel scheduling,Classification","Vincent Bebien,Odile Bellenguez,Gilles Coppin,Anna Ma-Wyatt,Rachel Stephens",2023
Designing Speech with Computational Linguistics for a Virtual Medical Assistant Using Situational Leadership,"In emergency medical procedures\, positive and trusting interaction between followers and leaders are imperative. That interaction is even more important when a virtual agent assumes the leader role and a human assumes the follower role. In order to manage the human-computer interaction\, situational leadership is employed to match the human to an appropriate leadership style embodied by the agent. This paper explores how different leadership styles can be conveyed by a virtual agent through an analysis of utterances made by doctors and coordinators during emergency simulations. We create a corpus which comprises utterances from simulation videos of medical emergencies. Each utterance is annotated with a leadership style. After analysis involving k-means clustering\, we compile easily-reproducible rules that dictate how speech should appear in each leadership style for use in a virtual agent system.",,"Aryana Collins Jackson,Elisabetta Bevacqua,Pierre de Loor,Ronan Querrec",2021
Understanding Multi-View Collaboration between Augmented Reality and Remote Desktop Users,"Establishing an effective collaboration between augmented-reality (AR) and remote desktop users is a challenge because collaborators do not share a common physical space and equipment. Yet\, such asymmetrical collaboration configurations are common today for many design tasks\, due to the geographical distance of people or unusual circumstances such as a lockdown. We conducted a first study to investigate trade-offs of three remote representations of an AR workspace: a fully virtual representation\, a first-person view\, and an external view. Building on our findings\, we designed ARgus\, a multi-view video-mediated communication system that combines these representations through interactive tools for navigation\, previewing\, pointing\, and annotation. We report on a second user study that observed how 12 participants used ARgus to provide remote instructions for an AR furniture arrangement task. Participants extensively used its view transition tools\, while the system reduced their reliance on verbal instructions.","Augmented reality,Remote collaboration,Video-mediated communication","Arthur Fages,Cédric Fleury,Theophanis Tsandilas",2022
"Evaluation and Optimization of Underwater Image Restoration Algorithms,Évaluation et optimisation des algorithmes de restauration d'images sous-marines","On-board restoration of underwater images on embedded platforms such as marine drones is faced with many obstacles including image quality and real-time constraints. Confrontations met on the way vary from views to solution methods depending on the goals\, such as underwater vehicle realtime control and positioning or underwater object recognition. In this research\, five algorithms for underwater image restoration were studied and evaluated. In order to evaluate the quality of the performing algorithms nine evaluation criteria were used. Split into two types\, the no reference metrics assesses only the quality of the image results\, while the full reference criterion uses a reference image to estimate it. The calculation of these criteria allows each algorithm to be compared. Furthermore\, the possibility to optimise algorithms in order to make them applicable to meet real-time requirements on embedded platforms was investigated.,La restauration embarquée d'images sous-marines sur des plates-formes embarquées telles que les drones marins est confrontée à de nombreux obstacles dont la qualité des images et les contraintes de temps réel. Les confrontations rencontrées en cours de route varient des points de vue aux méthodes de solution en fonction des objectifs\, tels que le contrôle et le positionnement en temps réel du véhicule sous-marin ou la reconnaissance d'objets sous-marins. Dans cette recherche\, cinq algorithmes de restauration d'images sous-marines ont été étudiés et évalués. Afin d'évaluer la qualité des algorithmes performants\, neuf critères d'évaluation ont été utilisés. Divisés en deux types\, le critère sans référence évalue uniquement la qualité des résultats de l'image\, tandis que le critère avec référence complète utilise une image de référence pour l'estimer. Le calcul de ces critères permet de comparer chaque algorithme. En outre\, la possibilité d'optimiser les algorithmes afin de les rendre applicables pour répondre aux exigences du temps réel sur les plateformes embarquées a été étudiée.",,"Alan Le Boudec,Artur Mkrtchyan,Barbara Džaja,Vincent Rodin,Hai Nam Tran",2021
"Conception collaborative au travers de versions parallèles en Réalité Augmentée,Versioning Virtual Content for Collaborative Design in Augmented Reality","La Réalité Augmentée permet de faciliter la conception collaborative en superposant du contenu virtuel sur un objet physique. Cependant\, des conflits peuvent survenir dans le partage de l’espace 3D lorsque plusieurs concepteurs ajoutent ou modifient du contenu virtuel au même endroit pour développer des idées différentes. De plus\, même si la visibilité du contenu créé par un concepteur peut renforcer la créativité de ses collaborateurs\, elle peut également être source d’inhibition. Pour répondre à ces problèmes\, nous introduisons un framework conceptuel permettant à plusieurs versions des augmentations d’un même objet physique de coexister dans des espaces virtuels parallèles. Les utilisateurs peuvent ainsi partiellement ou totalement désynchroniser leur espace virtuel afin de générer leur propre contenu\, puis explorer les alternatives créées par leur collaborateur. Pour illustrer notre concept\, nous présentons un scénario de conception collaborative d’un vêtement sur un mannequin de couture physique grâce à du dessin 3D en Réalité Augmentée.,In Augmented Reality environments\, multiple designers can interact with virtual content that overlays their shared physical objects. However\, conflicts arise when two designers try to add or modify content around the same virtual space\, for example\, to explore a new path of ideas. Likewise\, although content created by one designer can serve as a source of inspiration for others\, it can also distract their creative process. To address those problems\, we introduce a conceptual framework that allows multiple versions of augmentations of the same physical object to coexist in parallel virtual spaces. According to our framework\, users can partially or totally desynchronize their virtual environment to generate their own content and then explore alternatives created by others. To illustrate it\, we present a scenario of collaborative design in Augmented Reality\, where two designers sketch in 3D around a physical sewing mannequin to design female dress.","Augmented Reality,Collaboration,Collaborative Design,Collaboration,Conception Collaborative,Réalité Augmentée","Arthur Fages,Cédric Fleury,Theophanis Tsandilas",2023
"Le patrimoine industriel en virtuel comme outil de formation,Virtual Industrial Heritage as a Training Tool","Il est généralement supposé que la formation en réalité virtuelle favorise l'implication et la mémorisation chez les apprenants. Nous souhaitons vérifier cette hypothèse dans un contexte d'éducation au patrimoine industriel. Le système développé\, générique\, établit un lien entre une ontologie décrivant un Paysage Industriel Culturel Sensoriel (PICS) donné\, et un Environnement Virtuel Intelligent Réaliste Sensoriel (EVIRS). Ce lien est rendu possible par la compatibilité entre l'ontologie SHS ANY-ARTEFACT et le métamodèle MASCARET. L'apprenant accède aux connaissances de l'ontologie en interagissant avec des Agents Conversationnels Autonomes (ACA)\, notamment en assistant à des scénarios joués par ces agents. Ce système nous permettra de mettre en œuvre des expérimentations pour évaluer les liens entre immersion et mémorisation.","Réalité virtuelle,Ontologies,Patrimoine industriel,Médiation,Apprentissage en immersion","Anne Wartelle,Ronan Querrec,Florent Laroche,Marie-Morgane Abiven,Sylvain Laubé,Marina Gasnier,Isabelle Astic",2023
"Manipulating the Sense of Embodiment in Virtual Reality: a study of the interactions between the senses of agency\, self-location and ownership","In Virtual Reality (VR)\, the Sense of Embodiment (SoE) corresponds to the feeling of controlling and owning a virtual body\, usually referred to as an avatar. The SoE is generally divided into three components: the Sense of Agency (SoA) which characterises the level of control of the user over the avatar\, the Sense of Self-Location (SoSL) which is the feeling to be located in the avatar and the Sense of Body-Ownership (SoBO) that represents the attribution of the virtual body to the user. While previous studies showed that the SoE can be manipulated by disturbing either the SoA\, the SoBO or the SoSL\, the relationships and interactions between these three components still remain unclear. In this paper\, we aim at extending the understanding of the SoE and the interactions between its components by 1) experimentally manipulating them in VR via a biased visual feedback\, and 2) understanding if each sub-component can be selectively altered or not. To do so\, we designed a within-subject experiment where 47 right-handed participants had to perform movements of their right-hand under different experimental conditions impacting the sub-components of embodiment: the SoA was modified by impacting the control of the avatar with visual biased feedback\, the SoBO was altered by modifying the realism of the virtual right hand (anthropomorphic cartoon hand or non-anthropomorphic stick ``fingers'') and the SoSL was controlled via the user's point of view (first or third person). After each trial\, participants rated their level of agency\, ownership and self-location on a 7-item Likert scale. Results' analysis revealed that the three components could not be selectively altered in this experiment. Nevertheless\, these preliminary results pave the way to further studies.",,"Martin Guy,Camille Jeunet-Kelway,Guillaume Moreau,Jean-Marie Normand",2022
LabInVirtuo — conserver et transmettre le patrimoine industriel en réalité virtuelle et augmentée,,"Réalité virtuelle,Patrimoine industrielle,Ingénierie des connaissances",Anne Wartelle,2023
CyberCopter: a 3D helical visualisation for periodic signals of cyber attacks,"This paper aims to assess the usefulness of 3D interactive interfaces to display periodic signals in a network. Past research has shown that data visualization simplifies alert classification drawn by periodicity-based Intrusion Detection Systems. However\, 2D visualizations have limitations such as screen space availability. This is why we created CyberCopter\, a prototype that uses a 3D helical representation to highlight periodic patterns in a dataset. We tested CyberCopter usability and efficiency in a fraud detection scenario. It scored 77 on the SUS questionnaire which demonstrates acceptable usability.","Virtual Reality,Cybersecurity,Immersive Analytics","Nicolas Delcombel,Alexandre Kabil,Thierry Duval,Marc-Oliver Pahl",2021
Time Navigation in a Virtual Environment using Tangible Interactions: application to the domain of History of Science and Technology,"The History of Science and Technology domain studies and describes the evolutions of human technical activities. Historians use new technologies such as Virtual Reality to reconstruct and expose the results of their research. In order to observe the evolutions of the studied systems inside a Virtual Environment\, the user must be able to navigate through time. We propose a model of time based on two scales and to use tangible interactions to navigate on these two timescales.","Models,Interaction paradigm,Tangible User Interface,Virtual Reality,History of Science and Technology,Cultural Heritage,Istory of Science and Technology","Pierre Mahieux,Sébastien Kubicki,Sylvain Laubé,Ronan Querrec",2021
Human Activity Recognition: A Spatio-temporal Image Encoding of 3D Skeleton Data for Online Action Detection,"Human activity recognition (HAR) based on skeleton data that can be extracted from videos (Kinect for example) \, or provided by a depth camera is a time series classification problem\, where handling both spatial and temporal dependencies is a crucial task\, in order to achieve a good recognition. In the online human activity recognition\, identifying the beginning and end of an action is an important element\, that might be difficult in a continuous data flow. In this work\, we present a 3D skeleton data encoding method to generate an image that preserves the spatial and temporal dependencies existing between the skeletal joints.To allow online action detection we combine this encoding system with a sliding window on the continous data stream. By this way\, no start or stop timestamp is needed and the recognition can be done at any moment. A deep learning CNN algorithm is used to achieve actions online detection.","Online Action Recognition,Human Activity Recognition,Deep Learning,Deep learning,3D Skeleton Data,Spatio-temporal Image Encoding,Sliding Window","Nassim Mokhtari,Alexis Nédélec,Pierre de Loor",2022
Evaluating Visual Cues for Future Airborne Surveillance Using Simulated Augmented Reality Displays,"This work explores the interaction between Augmented Reality (AR) and eye accommodation for airborne surveillance by simulating AR environments in Virtual Reality (VR). We simulate the AR display as displays with the capabilities needed for airborne surveillance are limited and because it would be hazardous to experiment directly on surveillance aircraft. While there is precedent for simulating AR in a VR environment\, our study account for two of the physical and physiological aspects of AR: we factor in the focal plane of the AR technology and simulate the eye accommodation reflex of the user to provide focus. We ran a study with 24 participants examining AR cues to support visual search. We also compare the effects of having secondary tasks (that surveillance operators are normally responsible for) directly on the observation window using AR. Our results show that the effectiveness of the AR cues is dependent on the modality of the secondary task. We also found that\, under certain situations\, operators’ performances for the search task are improved if the focal plane of the AR display is at the same distance as subsequent search targets.","Virtual Reality,Augmented Reality,Data Visualization,User Interfaces","Nicolas Barbotin,James Baumeister,Andrew Cunningham,Thierry Duval,Olivier Grisvard,Bruce Thomas",2022
Modèle multi-agent d’auto-organisation pour le butinage au sein d’une colonie d’abeilles,"Les Systèmes Multi-Agents (SMA) ont montré depuis plusieurs années leur adéquation à modéliser et simuler les systèmes complexes. Nous suivons cette approche pour modéliser une colonie d’abeilles située dans une ruche Dadant\, où plusieurs dizaines de milliers d’individus interagissent\, dans le but d’évaluer l’impact d’actions locales au niveau des abeilles (e.g. pratiques apicoles) sur la colonie. Nous nous concentrons ici sur l’activité de butinage\, en nous intéressant plus particulièrement au phénomène d’auto-organisation qui conduit les butineuses à sélectionner les meilleures sources de nourriture disponibles. Les interactions des butineuses avec l’environnement extérieur de la ruche\, qui diffère de l’intérieur en termes de granularité des actions et d’échelle\, sont simulées grâce à un module paramétrable et compatible agent\, en fonction de la météo et des sources de nourriture environnantes. Les résultats de deux expérimentations du modèle\, l’une sur une année complète\, et l’autre sur une journée\, montrent que le phénomène d’auto-organisation des butineuses résulte du comportement des butineuses et des mécanismes de recrutement implantés\, et offrent une première validation de notre modèle.,The agent-based approach has been successfully used in the past years to model and simulate complex systems. We use this approach on a honeybee colony in a Dadant hive\, where several tens of thousands of bees interact\, in order to evaluate the impact of local actions at the bee-level (such as beekeeping practices) on the global system. In this article\, we focus on the foraging activity\, its self-organisation mechanisms and the behaviour of foraging bees\, and how these bees interact with the environment of the hive\, greatly different in granularity and scale. We present a customizable\, agent-compliant module that aims at modelling and simulating the foraging\, according to the weather and the surrounding nectar sources. The results of two experimentations provide a first validation of our model\, showing that the agents’ behaviours lead to a self-organizing process of the best available sources’ selection.","Multiagent simulation,Self-organization,Environment,Complex Sys- tems,Simulation multi-agent,Auto-organisation,Systèmes Complexes,Environnement","Jérémy Rivière,Thomas Alves,Cédric Alaux,Yves Le Conte,Yves Layec,André Lozac’h,Frank Singhoff,Vincent Rodin",2022
"ARgus : système multi-vues pour collaborer à distance avec un utilisateur en réalité augmentée,ARgus: Multi-View System to Collaborate Remotely with an Augmented Reality User","ARgus permet une collaboration asymétrique entre un utilisateur portant un casque de réalité augmentée (RA) et un utilisateur distant muni d'un ordinateur standard. Ce système de communication vidéo combine trois représentations de l'espace de travail de l'utilisateur en réalité augmentée : une représentation virtuelle\, une vue à la première personne et une vue externe. ARgus propose aussi des outils interactifs permettant la navigation\, la pré-visualisation\, le pointage et l'annotation dans chacune de ces vues.,ARgus supports asymmetric collaboration between augmented-reality (AR) and remote desktop users. This video-mediated communication system combines three representations of the AR user's workspace: a fully virtual representation\, a first-person view\, and an external view. ARgus also includes interactive tools allowing navigation\, previewing\, pointing\, and annotation in these views.","Augmented reality,Remote collaboration,Video-mediated communication,Augmented video,Réalité augmentée,Collaboration à distance,Communication par vidéo,Vidéo augmentée","Arthur Fages,Cédric Fleury,Theophanis Tsandilas",2022
Characterization of collaboration in a virtual environment with gaze and speech signals,"Collaboration during the completion of complex tasks requires synchronization and effective communication within teams. In this paper\, we study multimodal collaboration metrics with the intention of designing collaboration support systems that enable the evaluation of collaboration quality. The goal is to provide real-time feedback and prevent the emergence of critical situations due to poor collaboration. We use a collaborative virtual environment to control the situation and the effects of the environment. As a first step to measure collaboration\, we present a work in progress that aims to test the effectiveness of verbal and gaze measurements as an indicator of collaboration quality. To do so\, an assembly task was performed by twelve dyads in our virtual environment. A tool was designed to process activity inputs in real time. Our findings show that verbal and gaze metrics can provide feedback on collaboration in virtual environment. Using these measures together with others would provide more accurate feedback on collaboration. Lastly\, suggestions for improving the tool and an interest for other collaboration indicators are raised.","Collaboration,Virtual reality,Collaboration cues,Joint visual attention,Turn-taking,Overlapped Speech","Aurélien Léchappé,Aurélien Milliat,Cédric Fleury,Mathieu Chollet,Cédric Dumas",2023
Deep weathering effects,"Weathering phenomena are ubiquitous in urban environments\, where it is easy to observe severely degraded old buildings as a result of water penetration. Despite being an important part of any realistic city\, this kind of phenomenon has received little attention from the Computer Graphics community compared to stains resulting from biological or flow effects on the building exteriors. In this paper\, we present physically-inspired deep weathering effects\, where the penetration of humidity (i.e.\, water particles) and its interaction with a building's internal structural elements result in large\, visible degradation effects. Our implementation is based on a particle-based propagation model for humidity propagation\, coupled with a spring-based interaction simulation that allows chemical interactions\, like the formation of rust\, to deform and destroy a building's inner structure. To illustrate our methodology\, we show a collection of deep degradation effects applied to urban models involving the creation of rust or of ice within walls.","Weathering,Rust,Bricks,Iron","Adrien Verhulst,Jean-Marie Normand,Guillaume Moreau,Gustavo Patow",2023
A unifying method-based classification of robot swarm spatial self-organisation behaviours,"Self-organisation in robot swarms can produce collective behaviours\, particularly through spatial self-organisation. For example\, it can be used to ensure that the robots in a swarm move collectively. However\, from a designer’s point of view\, understanding precisely what happens in a swarm that allows these behaviours to emerge at the macroscopic level remains a difficult task. The same behaviour can come from multiple different controllers (ie the control algorithm of a robot) and a single controller can give rise to multiple different behaviours\, sometimes caused by slight changes in self-organisation. To grasp the causes of these differences\, it is necessary to investigate the relationships between the many methods of self-organisation that exist and the various behaviours that can be obtained. The work presented here addresses self-organisation in robot swarms by focusing on the main behaviours that lead to spatial self-organisation of the robots. First\, we propose a unified definition of the different behaviours and present an original classification system highlighting ten self-organisation methods that each allow one or more behaviours to be performed. An analysis\, based on this classification system\, links the identified mechanisms with behaviours that could be considered as obtainable or not. Finally\, we discuss some perspectives on this work\, notably from the point of view of an operator or designer.","Swarm intelligence,Robot swarm,Self-organisation,Aggregation,Flocking,Coverage,Pattern formation,Shape formation","Aymeric Hénard,Jérémy Rivière,Etienne Peillard,Sébastien Kubicki,Gilles Coppin",2023
