title_s,abstract_s,keyword_s,authFullName_s,publicationDateY_i,language_s
Prerequisite structure discovery for an intelligent tutoring system based on intrinsic motivation,"This paper addresses the importance of Knowledge Structure (KS) and Knowledge Tracing (KT) in improving the recommendation of educational content in intelligent tutoring systems. The KS represents the relations between different Knowledge Components (KCs)\, while KT predicts a learner's success based on her past history. The contribution of this research includes proposing a KT model that incorporates the KS as a learnable parameter\, enabling the discovery of the underlying KS from learner trajectories. The quality of the uncovered KS is assessed by using it to recommend content and evaluating the recommendation algorithm with simulated students.","Intelligent Tutoring Systems,Knowledge Tracing,Knowledge Structure Discovery","Louis Annabi,Sao Mai Nguyen",2023,en
Reducing domain shift in synthetic data augmentation for semantic segmentation of 3D point clouds,"The use of deep learning in semantic segmentation of point clouds enables a drastic improvement of segmentation precision. However\, available datasets are restrained to a few applications with limited applicability to other fields. Using synthetic and real data can alleviate the burden of creating a dedicated dataset at the cost of domain-shift that is mostly addressed during training\, while treating the problem directly on the data has been less explored. Towards this goal\, two methods to alleviate domain shift are proposed\, firstly by enhanced generation and sampling of synthetic data and secondly by leveraging color information of unlabeled point clouds to color synthetic\, uncoloured data. Obtained results confirm their usefulness in improving semantic segmentation result (+3.43 into mIoU for a network trained on S3DIS zone 1). More importantly\, the devised coloring method shows the ability of a point-based network to link color information with recurrent geometric features. Finally\, the presented methods are able to bridge the domain-shift gap even in cases where inclusion of raw synthetic data during training impedes learning.",,"Romain Cazorla,Line Poinel,Panagiotis Papadakis,Cédric Buche",2022,en
"A Survey of Human Activity Recognition in Smart Homes Based on IoT Sensors Algorithms: Taxonomies\, Challenges\, and Opportunities with Deep Learning","Recent advances in Internet of Things (IoT) technologies and the reduction in the cost of sensors have encouraged the development of smart environments\, such as smart homes. Smart homes can offer home assistance services to improve the quality of life\, autonomy and health of their residents\, especially for the elderly and dependent. To provide such services\, a smart home must be able to understand the daily activities of its residents. Techniques for recognizing human activity in smart homes are advancing daily. But new challenges are emerging every day. In this paper\, we present recent algorithms\, works\, challenges and taxonomy of the field of human activity recognition in a smart home through ambient sensors. Moreover\, since activity recognition in smart homes is a young field\, we raise specific problems\, missing and needed contributions. But also propose directions\, research opportunities and solutions to accelerate advances in this field.","Smart Home,Deep Learning,Ambient Assisting Living,Smart Homes,Deep Learning DL,Human Activity Recognition,Taxonomies,Challenges,Opportunities,Survey,Artificial Intelligence AI,IoT - Internet of Things,Activities of daily living ADL,Smart Home","Damien Bouchabou,Sao Mai Nguyen,Christophe Lohr,Benoit Leduc,Ioannis Kanellos",2021,en
"Reinforcement learning-based control for safe 3D navigation of articulated tracked robot manipulators","Object transportation by an assistive tracked robot equipped with an arm constitutes a way to palliate the autonomy loss of people suffering from cognitive or motor impairments. As previous research works rely on conventional control to perform 3D navigation\, they lack generalization and portability to different robots or environments. Reinforcement learning (RL) based control is a less supervised alternative\, based on less restrictive assumptions on the knowledge of the robot dynamics or the structure of the environment. This thesis proposes a 3D navigation solution based on RL that uses all degrees of freedom of a robot. In particular\, we contribute to the formalization and the treatment of the staircase negotiation problem for ascent and descent with arm control. We analyze the portability of the solution to different robots and perform a demonstration of the transfer of controllers on a real robot. Finally\, we have developed and made available a software environment for learning indoor 3D navigation\, capable of performing end-to-end control learning in an incremental manner.","Reinforcement learning,Mobile robotics,Tracked robots,Safe control,",Andrei Mitriakov,2022,en
Temporal Alignment and Demonstration Selection as Pre-Processing Phase for Learning by Demonstration,"Robots can benefit from users’ demonstrations to learnmotions. To be efficient\, a pre-processing phase needsto be performed on data recorded from demonstrations.This paper presents pre-processing methods developedfor Learning By Demonstration (LbD). Thepre-processing phase consists in methods composedof alignment algorithms and algorithms that select thegood demonstrations. In this paper we propose sixmethods and compare them to select the best one.","Learning by Demonstration, Data Pre-processing, Robotics, Temporal Alignment","Jérémie Donjat,Amélie Legeleux,Cédric Buche,Dominique Duhaut",2022,en
Bottleneck Identification to Semantic Segmentation of Industrial 3D Point Cloud Scene via Deep Learning,"Point cloud acquisition techniques are an essential tool for the digitization of industrial plants\, yet the bulk of a designer's work remains manual. A first step to automatize drawing generation is to extract the semantics of the point cloud. Towards this goal\, we investigate the use of deep learning to semantically segment oil and gas industrial scenes. We focus on domain characteristics such as high variation of object size\, increased concavity and lack of annotated data\, which hampers the use of conventional approaches. To address these issues\, we advocate the use of synthetic data\, adaptive downsampling and context sharing.",,"Romain Cazorla,Line Poinel,Panagiotis Papadakis,Cédric Buche",2021,en
Using Language Model to Bootstrap Human Activity Recognition Ambient Sensors Based in Smart Homes,"Long Short Term Memory (LSTM)-based structures have demonstrated their efficiency for daily living recognition activities in smart homes by capturing the order of sensor activations and their temporal dependencies. Nevertheless\, they still fail in dealing with the semantics and the context of the sensors. More than isolated id and their ordered activation values\, sensors also carry meaning. Indeed\, their nature and type of activation can translate various activities. Their logs are correlated with each other\, creating a global context. We propose to use and compare two Natural Language Processing embedding methods to enhance LSTM-based structures in activity-sequences classification tasks: Word2Vec\, a static semantic embedding\, and ELMo\, a contextualized embedding. Results\, on real smart homes datasets\, indicate that this approach provides useful information\, such as a sensor organization map\, and makes less confusion between daily activity classes. It helps to better perform on datasets with competing activities of other residents or pets. Our tests show also that the embeddings can be pretrained on different datasets than the target one\, enabling transfer learning. We thus demonstrate that taking into account the context of the sensors and their semantics increases the classification performances and enables transfer learning.","Human activity recognition,Deep learning,Smart home,Ambient assisting living,Language model,Contextualized model,Long short-term memory,LSTM,Transfer learning,Ambient sensors,Word2Vec,ELMo,Semantic model","Damien Bouchabou,Sao Mai Nguyen,Christophe Lohr,Benoit Leduc,Ioannis Kanellos",2021,en
Densifying SLAM for UAV navigation by fusion of monocular depth prediction,"Simultaneous Localization and Mapping (SLAM) research has reached a level of maturity enabling systems to build autonomously an accurate sparse map of the environment while localizing themselves in that map. At the same time\, the use of deep learning has recently brought great improvements in Monocular Depth Prediction (MDP). Some applications such as autonomous drone navigation and obstacle avoidance require dense structure information and cannot only rely on sparse SLAM representation. We propose to densify a state-of-theart SLAM algorithm using deep learning-based dense MDP at keyframe rate. Towards this goal\, we describe a scale recovery from SLAM landmarks by minimizing a depth error metric combined with a multi-view depth refinement using a volumetric approach. We conclude with experiments that attest the added value of our approach in terms of depth estimation.","Usar,Monocular depth prediction,Deep-learning,Drones","Yassine Habib,Panagiotis Papadakis,Cédric Le Barz,Antoine Fagette,Tiago Gonçalves,Cédric Buche",2023,en
PRIM Project: Playing and Recording with Interactivity and Multisensoriality,"Multisensory Interaction (M.I.) is a promising research field acting on both perception and cognition. Among benefits, including the ""design for all"" approach, it is expected to increase humans’ cognitive performance (such as learning and cognitive stimulation) as well as user's experience. To our knowledge, there is no convincing tool allowing researchers to create easily multisensory scenarios, exercises or experimental interaction situations. This paper introduces the PRIM project which aims at designing a new and original tool for designing multisensory interactive interaction situations.","multisensory interaction, graphical language, user experience, accessibility","Céline Jost,Justin Debloos,Dominique Archambault,Brigitte Le Pevedic,Rémy Sohier,Jack Sagot,Charles Tijus,Isis Truck,Gérard Uzan",2021,en
Towards Automata-Based Abstraction of Goals in Hierarchical Reinforcement Learning,"Hierarchical Reinforcement Learning (HRL) offers potential benefits for solving long horizon tasks\, generally unhandled by standard Reinforcement Learning (RL) techniques\, by decomposing the problem and combining simple policies to achieve the goal. They are however still held back by the curse of dimensionality and the ambiguity of selected subtasks. We explore relevant approaches in HRL while highlighting the key challenges of goal representation\, high-level planning and propose a research outline tackling them.",,"Mehdi Zadem,Sergio Mover,Sao Mai Nguyen,Sylvie Putot",2022,en
"Reinforcement Learning based\, Staircase Negotiation Learning in Simulation and Transfer to Reality for Articulated Tracked Robots","Autonomous control of reconfigurable robots is crucial for their deployment in diverse environments. The development of such skills is however hampered by the diversity in hardware and task constraints. We advocate the use of artificial intelligence-based approaches to improve scalability to different conditions and portability to platforms of comparable traversability skills. In particular\, we succeed in tackling the problem of staircase traversal via a reinforcement learning-based control framework applicable to different articulated tracked robots\, powerful enough to generalize to varying conditions learnt in simulation and to transfer to reality in a zero-shot setting. Our extensive experiments demonstrate the robustness of the framework in learning tasks with increased risk and difficulty induced by platform diversification and increased control dimensionality.",,"Andrei Mitriakov,Panagiotis Papadakis,Jérôme Kerdreux,Serge Garlatti",2021,en
Fully Convolutional Network Bootstrapped by Word Encoding and Embedding for Activity Recognition in Smart Homes,"Activity recognition in smart homes is essential when we wish to propose automatic services for the inhabitants. However\, it poses challenges in terms of variability of the environment\, sensorimotor system\, but also user habits. Therefore\, endto-end systems fail at automatically extracting key features\, without extensive pre-processing. We propose to tackle feature extraction for activity recognition in smart homes by merging methods from the Natural Language Processing (NLP) and the Time Series Classification (TSC) domains. We evaluate the performance of our method on two datasets issued from the Center for Advanced Studies in Adaptive Systems (CASAS). Moreover\, we analyze the contributions of the use of NLP encoding Bag-Of-Word with Embedding as well as the ability of the FCN algorithm to automatically extract features and classify. The method we propose shows good performance in offline activity classification. Our analysis also shows that FCN is a suitable algorithm for smart home activity recognition and hightlights the advantages of automatic feature extraction.","Human Activity Recognition,Smart Homes,Embedding,Word Encoding,Fully Convolutional Network,Automatic Features","Damien Bouchabou,Sao Mai Nguyen,Christophe Lohr,Ioannis Kanellos,Benoit Leduc",2021,en
